Código do Município;Município;Estado;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;CO108 - Quantidade de RDO coletada pelo agente público;CO111 - Quantidade total de RDO coletada por todos os agentes;CO112 - Quantidade de RPU coletada pelo agente público;CO115 - Quantidade total de RPU coletada por todos os agentes executores;CO116 - Quantidade de RDO e RPU coletada pelo agente público;CO119 - Quantidade total de RDO e RPU coletada por todos os agentes
420540;Florianópolis;SC;2022;42054040;Secretaria Municipal do Meio Ambiente de Florianópolis;SMMA;Administração pública direta;;;;;99.330,00;180.880,00
420540;Florianópolis;SC;2021;42054040;Secretaria Municipal do Meio Ambiente de Florianópolis;SMMA;Administração pública direta;;;;;131.814,30;173.967,90
420540;Florianópolis;SC;2020;42054040;Autarquia de Melhoramentos da Capital;COMCAP;Autarquia;;;;;217.906,00;217.906,00
420540;Florianópolis;SC;2019;42054040;Autarquia de Melhoramentos da Capital;COMCAP;Autarquia;;;;;212.303,00;212.303,00
420540;Florianópolis;SC;2018;42054040;Autarquia de Melhoramentos da Capital;COMCAP;Autarquia;;;;;209.318,00;209.318,00
420540;Florianópolis;SC;2017;42054040;Autarquia de Melhoramentos da Capital;COMCAP;Autarquia;;;;;213.228,90;213.228,90
420540;Florianópolis;SC;2016;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;188.775,90;;6.270,00;;195.045,90;199.918,70
420540;Florianópolis;SC;2015;42054040;Companhia Melhoramentos da Capital;COMCAP;Empresa pública;191.318,80;198.554,80;5.972,80;5.972,80;197.291,60;204.527,60
420540;Florianópolis;SC;2014;42054040;Companhia Melhoramentos da Capital;COMCAP;Empresa pública;184.506,00;184.506,00;7.577,00;7.577,00;192.083,00;192.083,00
420540;Florianópolis;SC;2013;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;166.798,20;167.898,20;12.677,80;12.677,80;179.476,00;180.576,00
420540;Florianópolis;SC;2012;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;;;;;185.505,00;186.241,40
420540;Florianópolis;SC;2011;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;163.187,60;164.176,70;4.392,00;4.392,00;167.579,60;168.568,70
420540;Florianópolis;SC;2010;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;155.712,80;155.842,80;2.553,00;2.553,00;158.265,80;158.395,80
420540;Florianópolis;SC;2009;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;147.651,00;147.651,00;825,3;825,3;148.476,30;148.476,30
420540;Florianópolis;SC;2008;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;136.238,70;138.398,70;4.476,00;4.476,00;140.714,70;142.874,70
420540;Florianópolis;SC;2007;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;127.882,90;127.882,90;2.376,50;2.376,50;130.259,40;130.259,40
420540;Florianópolis;SC;2006;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;;;;;128.232,00;128.232,00
420540;Florianópolis;SC;2005;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;;;;;122.419,00;124.919,00
420540;Florianópolis;SC;2004;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;;;;;120.909,10;123.439,10
420540;Florianópolis;SC;2003;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;119.127,30;121.427,30;0;0;119.127,30;121.427,30
420540;Florianópolis;SC;2002;42054040;Companhia Melhoramentos da Capital;COMCAP;Sociedade de economia mista com administração pública;;;;;123.261,00;123.261,00
TOTAL da AMOSTRA:;---;---;---;---;---;---;---;1.581.199,20;1.406.338,40;47.120,40;40.850,40;3.392.545,90;3.540.803,80
